iter	Passed	Remaining
0	266	266333
1	371	185234
2	494	164356
3	634	157991
4	748	148900
5	841	139376
6	944	133972
7	1032	128004
8	1124	123874
9	1222	121049
10	1317	118441
11	1405	115729
12	1495	113524
13	1589	111913
14	1673	109889
15	1763	108482
16	1851	107039
17	1932	105443
18	2043	105531
19	2137	104737
20	2228	103880
21	2313	102834
22	2387	101405
23	2516	102334
24	2602	101504
25	2685	100604
26	2774	100001
27	2863	99401
28	2945	98619
29	3039	98264
30	3127	97746
31	3223	97497
32	3304	96831
33	3384	96172
34	3464	95528
35	3558	95275
36	3636	94648
37	3713	94011
38	3811	93927
39	4016	96390
40	4110	96139
41	4207	95981
42	4317	96097
43	4418	96010
44	4534	96223
45	4649	96426
46	4743	96173
47	4832	95852
48	4930	95684
49	5028	95536
50	5150	95847
51	5246	95653
52	5340	95423
53	5633	98692
54	5761	98994
55	5860	98793
56	5951	98467
57	6060	98428
58	6164	98319
59	6267	98184
60	6371	98079
61	6454	97656
62	6555	97493
63	6664	97471
64	6771	97406
65	6882	97394
66	6975	97140
67	7067	96871
68	7154	96528
69	7236	96147
70	7314	95707
71	7390	95260
72	7480	94992
73	7569	94717
74	7650	94361
75	7741	94126
76	7824	93791
77	7914	93557
78	7998	93250
79	8083	92957
80	8158	92561
81	8239	92243
82	8311	91830
83	8401	91611
84	8485	91339
85	8563	91016
86	8650	90783
87	8732	90502
88	8807	90152
89	8894	89934
90	8979	89691
91	9070	89524
92	9141	89155
93	9228	88950
94	9308	88676
95	9388	88405
96	9463	88098
97	9543	87838
98	9628	87630
99	9710	87398
100	9785	87100
101	9873	86927
102	9966	86797
103	10051	86600
104	10137	86406
105	10210	86112
106	10327	86188
107	10418	86048
108	10513	85936
109	10609	85838
110	10686	85589
111	10768	85376
112	10841	85102
113	10935	84987
114	11014	84765
115	11113	84692
116	11191	84461
117	11271	84252
118	11352	84043
119	11440	83896
120	11536	83807
121	11617	83606
122	11705	83462
123	11791	83304
124	11868	83078
125	11966	83005
126	12049	82827
127	12137	82685
128	12213	82468
129	12295	82288
130	12373	82080
131	12445	81839
132	12576	81983
133	12719	82201
134	12796	81991
135	12872	81776
136	12991	81836
137	13071	81652
138	13148	81444
139	13223	81232
140	13293	80989
141	13380	80849
142	13469	80722
143	13549	80543
144	13644	80457
145	13733	80333
146	13818	80182
147	13901	80027
148	13979	79843
149	14055	79646
150	14138	79491
151	14223	79354
152	14309	79215
153	14399	79104
154	14486	78975
155	14572	78840
156	14670	78770
157	14756	78639
158	14834	78465
159	14925	78359
160	15011	78225
161	15090	78060
162	15177	77935
163	15260	77792
164	15340	77632
165	15410	77421
166	15483	77234
167	15564	77081
168	15640	76909
169	15731	76809
170	15820	76697
171	15910	76592
172	15978	76380
173	16052	76202
174	16135	76067
175	16209	75891
176	16303	75805
177	16384	75664
178	16457	75483
179	16536	75334
180	16607	75148
181	16688	75005
182	16768	74863
183	16840	74685
184	16924	74560
185	17012	74453
186	17103	74357
187	17185	74227
188	17270	74106
189	17343	73940
190	17410	73744
191	17493	73618
192	17572	73474
193	17647	73320
194	17728	73187
195	17815	73079
196	17898	72956
197	17987	72858
198	18071	72739
199	18155	72621
200	18249	72542
201	18341	72458
202	18423	72330
203	18505	72205
204	18583	72068
205	18661	71929
206	18763	71881
207	18841	71743
208	18916	71592
209	19000	71479
210	19072	71319
211	19150	71183
212	19225	71036
213	19317	70949
214	19401	70836
215	19479	70701
216	19558	70574
217	19646	70475
218	19736	70383
219	19816	70259
220	19902	70153
221	19970	69988
222	20054	69875
223	20131	69741
224	20211	69616
225	20286	69478
226	20368	69360
227	20450	69243
228	20537	69146
229	20623	69045
230	20707	68936
231	20920	69253
232	21001	69135
233	21076	68993
234	21156	68871
235	21234	68742
236	21319	68634
237	21391	68489
238	21509	68489
239	21671	68625
240	21744	68481
241	21822	68353
242	21907	68248
243	21991	68136
244	22070	68012
245	22144	67873
246	22234	67784
247	22310	67650
248	22400	67562
249	22481	67443
250	22565	67338
251	22643	67210
252	22722	67089
253	22805	66979
254	22892	66883
255	22987	66808
256	23061	66671
257	23142	66555
258	23225	66449
259	23307	66338
260	23392	66234
261	23462	66089
262	23540	65966
263	23620	65849
264	23698	65729
265	23777	65610
266	23861	65506
267	23944	65400
268	24020	65274
269	24094	65144
270	24186	65062
271	24271	64961
272	24365	64884
273	24456	64801
274	24547	64714
275	24639	64633
276	24736	64565
277	24819	64459
278	24896	64339
279	24978	64231
280	25057	64115
281	25133	63991
282	25217	63890
283	25306	63801
284	25396	63713
285	25511	63689
286	25591	63576
287	25682	63492
288	25767	63393
289	25864	63322
290	25939	63199
291	26025	63103
292	26115	63017
293	26189	62889
294	26277	62797
295	26354	62681
296	26429	62557
297	26502	62431
298	26594	62350
299	26686	62269
300	26773	62175
301	26853	62064
302	26942	61976
303	27028	61880
304	27103	61760
305	27183	61652
306	27259	61533
307	27328	61400
308	27412	61300
309	27484	61174
310	27570	61081
311	27650	60973
312	27736	60878
313	27808	60753
314	27888	60647
315	27975	60554
316	28054	60444
317	28125	60318
318	28214	60232
319	28294	60125
320	28384	60041
321	28465	59937
322	28545	59829
323	28618	59709
324	28706	59621
325	28777	59497
326	28882	59444
327	28964	59342
328	29049	59247
329	29145	59175
330	29236	59091
331	29312	58978
332	29404	58896
333	29484	58792
334	29559	58677
335	29642	58578
336	29731	58493
337	29806	58378
338	29885	58273
339	29960	58159
340	30036	58046
341	30110	57932
342	30203	57854
343	30354	57884
344	30480	57867
345	30557	57758
346	30641	57662
347	30718	57553
348	30798	57450
349	30871	57332
350	30943	57214
351	31038	57139
352	31118	57035
353	31196	56929
354	31275	56823
355	31349	56710
356	31436	56620
357	31525	56534
358	31600	56423
359	31685	56329
360	31774	56243
361	31851	56136
362	31934	56039
363	32027	55959
364	32095	55836
365	32174	55733
366	32266	55653
367	32351	55560
368	32441	55475
369	32528	55386
370	32608	55284
371	32687	55181
372	32762	55072
373	32838	54965
374	32923	54872
375	33002	54770
376	33090	54683
377	33164	54572
378	33245	54473
379	33327	54376
380	33399	54263
381	33491	54182
382	33579	54094
383	33658	53994
384	33747	53908
385	33823	53802
386	33900	53697
387	33976	53591
388	34056	53491
389	34134	53389
390	34232	53319
391	34329	53245
392	34423	53168
393	34502	53067
394	34578	52962
395	34656	52859
396	34732	52755
397	34820	52667
398	34908	52580
399	34986	52480
400	35065	52380
401	35154	52293
402	35238	52201
403	35330	52120
404	35404	52013
405	35498	51935
406	35573	51831
407	35655	51736
408	35743	51649
409	35831	51562
410	35911	51464
411	35995	51371
412	36083	51285
413	36175	51204
414	36252	51102
415	36324	50993
416	36404	50896
417	36511	50836
418	36584	50728
419	36663	50630
420	36755	50550
421	36839	50458
422	36919	50360
423	37007	50274
424	37081	50168
425	37149	50055
426	37238	49971
427	37314	49869
428	37391	49768
429	37474	49674
430	37563	49590
431	37645	49496
432	37732	49410
433	37813	49314
434	37894	49218
435	37972	49120
436	38053	49025
437	38122	48915
438	38190	48804
439	38258	48693
440	38348	48609
441	38432	48518
442	38506	48415
443	38577	48308
444	38662	48219
445	38744	48126
446	38821	48026
447	38897	47927
448	38998	47857
449	39076	47759
450	39164	47674
451	39240	47575
452	39314	47471
453	39401	47385
454	39486	47296
455	39565	47201
456	39636	47094
457	39753	47044
458	39887	47013
459	39971	46923
460	40060	46838
461	40143	46747
462	40224	46653
463	40295	46547
464	40374	46452
465	40456	46359
466	40555	46286
467	40635	46192
468	40715	46097
469	40811	46021
470	40887	45922
471	40978	45840
472	41063	45751
473	41158	45674
474	41242	45583
