ORGANIZATION_TYPE_GROUP,accuracy,recall,selection_rate,false_negative_rate,macro_demographic_parity_diff,macro_equalized_odds_diff
Advertising,0.7401812688821753,0.7241379310344828,0.2990936555891239,0.27586206896551724,0.5342745098039215,0.5228265184597062
Agriculture,0.6116455696202532,0.8262910798122066,0.4587341772151899,0.17370892018779344,0.5342745098039215,0.5228265184597062
Bank,0.7435,0.7545454545454545,0.2845,0.24545454545454545,0.5342745098039215,0.5228265184597062
Business_Entity_Type_1,0.6900414937759336,0.75,0.350207468879668,0.25,0.5342745098039215,0.5228265184597062
Business_Entity_Type_2,0.6935120389040446,0.7706043956043956,0.3532202585695647,0.22939560439560439,0.5342745098039215,0.5228265184597062
Business_Entity_Type_3,0.6765743258137997,0.7846671949286846,0.37622161804688076,0.2153328050713154,0.5342745098039215,0.5228265184597062
Cleaning,0.6886792452830188,0.875,0.39622641509433965,0.125,0.5342745098039215,0.5228265184597062
Construction,0.6145582515280608,0.8077519379844961,0.4589738840526023,0.19224806201550387,0.5342745098039215,0.5228265184597062
Culture,0.8040540540540541,0.5555555555555556,0.20270270270270271,0.4444444444444444,0.5342745098039215,0.5228265184597062
Electricity,0.7424042272126816,0.7857142857142857,0.2998678996036988,0.21428571428571427,0.5342745098039215,0.5228265184597062
Emergency,0.6855895196506551,0.78125,0.3537117903930131,0.21875,0.5342745098039215,0.5228265184597062
Government,0.7416376933221436,0.7347294938917975,0.29061263637453544,0.26527050610820246,0.5342745098039215,0.5228265184597062
Hotel,0.722860791826309,0.84,0.3205619412515964,0.16,0.5342745098039215,0.5228265184597062
Housing,0.728806410797132,0.8128342245989305,0.3205398566005905,0.18716577540106952,0.5342745098039215,0.5228265184597062
Industry__type_1,0.640661938534279,0.8315789473684211,0.43380614657210403,0.16842105263157894,0.5342745098039215,0.5228265184597062
Industry__type_10,0.6588235294117647,0.6666666666666666,0.36470588235294116,0.3333333333333333,0.5342745098039215,0.5228265184597062
Industry__type_11,0.6878745965882895,0.7624309392265194,0.3559243891194099,0.23756906077348067,0.5342745098039215,0.5228265184597062
Industry__type_12,0.7064846416382252,0.5,0.2935153583617747,0.5,0.5342745098039215,0.5228265184597062
Industry__type_13,0.45098039215686275,1.0,0.6862745098039216,0.0,0.5342745098039215,0.5228265184597062
Industry__type_2,0.6986666666666667,0.8064516129032258,0.352,0.1935483870967742,0.5342745098039215,0.5228265184597062
Industry__type_3,0.6350943396226415,0.8321678321678322,0.43660377358490565,0.16783216783216784,0.5342745098039215,0.5228265184597062
Industry__type_4,0.6256983240223464,0.7313432835820896,0.4175977653631285,0.26865671641791045,0.5342745098039215,0.5228265184597062
Industry__type_5,0.6995708154506438,0.7419354838709677,0.33261802575107297,0.25806451612903225,0.5342745098039215,0.5228265184597062
Industry__type_6,0.6781609195402298,0.6,0.3333333333333333,0.4,0.5342745098039215,0.5228265184597062
Industry__type_7,0.7014354066985646,0.8271604938271605,0.3492822966507177,0.1728395061728395,0.5342745098039215,0.5228265184597062
Industry__type_8,0.7894736842105263,0.6666666666666666,0.2631578947368421,0.3333333333333333,0.5342745098039215,0.5228265184597062
Industry__type_9,0.7066176470588236,0.7845303867403315,0.33125,0.2154696132596685,0.5342745098039215,0.5228265184597062
Insurance,0.7794117647058824,0.7037037037037037,0.24369747899159663,0.2962962962962963,0.5342745098039215,0.5228265184597062
Kindergarten,0.7253242074927954,0.73989898989899,0.30889769452449567,0.2601010101010101,0.5342745098039215,0.5228265184597062
Legal_Services,0.86,0.5714285714285714,0.152,0.42857142857142855,0.5342745098039215,0.5228265184597062
Medicine,0.7427935447968836,0.7112211221122112,0.28569838619922094,0.2887788778877888,0.5342745098039215,0.5228265184597062
Military,0.7520113582584004,0.6923076923076923,0.2669190724088973,0.3076923076923077,0.5342745098039215,0.5228265184597062
Mobile,0.64,0.8095238095238095,0.412,0.19047619047619047,0.5342745098039215,0.5228265184597062
Other,0.715488088975727,0.7392176529588766,0.3203577064702788,0.26078234704112335,0.5342745098039215,0.5228265184597062
Police,0.7721655024180548,0.6195652173913043,0.23965609887157444,0.3804347826086957,0.5342745098039215,0.5228265184597062
Postal,0.7077100115074798,0.7571428571428571,0.333716915995397,0.24285714285714285,0.5342745098039215,0.5228265184597062
Realtor,0.7870370370370371,0.6756756756756757,0.25308641975308643,0.32432432432432434,0.5342745098039215,0.5228265184597062
Religion,0.8260869565217391,0.75,0.2028985507246377,0.25,0.5342745098039215,0.5228265184597062
Restaurant,0.6192787794729542,0.7916666666666666,0.4486823855755895,0.20833333333333334,0.5342745098039215,0.5228265184597062
School,0.77294887867391,0.7279236276849642,0.25365649811951524,0.2720763723150358,0.5342745098039215,0.5228265184597062
Security,0.6156501726121979,0.8102189781021898,0.44955887993862675,0.1897810218978102,0.5342745098039215,0.5228265184597062
Security_Ministries,0.7615769712140176,0.691358024691358,0.25782227784730916,0.30864197530864196,0.5342745098039215,0.5228265184597062
Self_employed,0.6464411880151772,0.7994875080076874,0.4147258929739631,0.2005124919923126,0.5342745098039215,0.5228265184597062
Services,0.7585657370517929,0.7375,0.27171314741035857,0.2625,0.5342745098039215,0.5228265184597062
Telecom,0.7278761061946902,0.6216216216216216,0.2920353982300885,0.3783783783783784,0.5342745098039215,0.5228265184597062
Trade__type_1,0.6313868613138686,0.8148148148148148,0.4306569343065693,0.18518518518518517,0.5342745098039215,0.5228265184597062
Trade__type_2,0.670387393302692,0.8653846153846154,0.37951411687458964,0.1346153846153846,0.5342745098039215,0.5228265184597062
Trade__type_3,0.6346428571428572,0.8426573426573427,0.43535714285714283,0.15734265734265734,0.5342745098039215,0.5228265184597062
Trade__type_4,0.5192307692307693,0.5,0.4807692307692308,0.5,0.5342745098039215,0.5228265184597062
Trade__type_5,0.675,1.0,0.35,0.0,0.5342745098039215,0.5228265184597062
Trade__type_6,0.782520325203252,0.7,0.23373983739837398,0.3,0.5342745098039215,0.5228265184597062
Trade__type_7,0.6882183908045977,0.8206429780033841,0.3722860791826309,0.1793570219966159,0.5342745098039215,0.5228265184597062
Transport__type_1,0.71875,0.625,0.29375,0.375,0.5342745098039215,0.5228265184597062
Transport__type_2,0.7156585641605426,0.7553956834532374,0.3244771057094404,0.2446043165467626,0.5342745098039215,0.5228265184597062
Transport__type_3,0.5860995850622407,0.8552631578947368,0.5259336099585062,0.14473684210526316,0.5342745098039215,0.5228265184597062
Transport__type_4,0.6726977499420088,0.7831632653061225,0.37879842263975877,0.21683673469387754,0.5342745098039215,0.5228265184597062
University,0.7950664136622391,0.6,0.21537001897533206,0.4,0.5342745098039215,0.5228265184597062
